area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility,area,auv_count,w1,w2,w3
25000,4,owa,381,180.173913043478,345.916935572385,208.574088030197,1290,23,20,1524.00019609301,1,0,0,0.658809428685577,0.445752853694123,0.999466118116642,0.684993891908213,0.434958556865255,0.958333333333333,0.8,0.877551020408163,0.233855679729722,0.127994896086615,0.647291492310705,1.00914206812704,25000,4,1,0,0
25000,4,owa,377.85,170.708333333333,344.039513489519,205.428815379941,1320,24,20,1529.61570081051,0.8563,0.1192,0.0245,0.65,0.39688464847902,0.992184459026642,0.670312711367042,0.440116593436692,1,0.8,0.897959183673469,0.255936434104755,0.129734433599152,0.643961335040808,1.02963220274472,25000,4,0.8563,0.1192,0.0245
25000,5,owa,175.25,236.210526315789,99.4888070451784,188.940490027759,930,19,12,1284.1154478811,0.4,0.4,0.2,0.083399920095885,0.735054597571014,0.043684443607428,0.593350200248268,0.214616064702479,0.791666666666667,0.48,0.63265306122449,0.16579348761647,0.224770367939626,0.806851159357383,1.19741501491348,25000,5,0.4,0.4,0.2
25000,5,owa,177.333333333333,234,98.3983862888128,199.323266845299,900,18,12,1286.42184167972,0.6,0.2,0.2,0.089226261819151,0.723642253378549,0.039455201667121,0.641813859182433,0.216734567697287,0.75,0.48,0.612244897959184,0.152516228916419,0.224579497415861,0.805143652078177,1.18223937841046,25000,5,0.6,0.2,0.2
25000,5,owa,145.428571428571,287.529411764706,109.317261840314,192.504258929205,930,17,14,1223.87059272061,0.6,0.4,0,0,1,0.081804511466871,0.609984794595714,0.15927906797803,0.708333333333333,0.56,0.63265306122449,0.118001763298394,0.268553750853532,0.852758348212102,1.23931386236403,25000,5,0.6,0.4,0
25000,5,owa,164.416666666667,224.105263157895,96.6271732281381,186.807653524166,930,19,12,1287.9094238607,0.8,0.2,0,0.053102943134905,0.672558426993231,0.032585478656351,0.583394765137895,0.218100963716617,0.791666666666667,0.48,0.63265306122449,0.175489790417524,0.229723676446005,0.8040442582717,1.20925772513523,25000,5,0.8,0.2,0
25000,5,owa,176.5,253.222222222222,105.152270541344,194.021392257645,900,18,12,1338.80708942235,1,0,0,0.086895725129844,0.822881341634189,0.065650420690638,0.617066313680565,0.264852241397743,0.75,0.48,0.612244897959184,0.143665090925015,0.221729878076979,0.767319319630132,1.13271428863213,25000,5,1,0,0
25000,5,owa,180.166666666667,238,101.609621353074,195.769372116334,900,18,12,1295.55923510967,0.6561,0.2175,0.1264,0.097150086562791,0.744293161917295,0.051910109494836,0.625225354482847,0.225127581656008,0.75,0.48,0.612244897959184,0.152023236366551,0.222145822648501,0.798414349236318,1.18258340825137,25000,5,0.6561,0.2175,0.1264
25000,6,owa,343.375,275.352941176471,139.569683056785,244.798626726252,750,17,8,1050.46500607094,0.4,0.4,0.2,0.553585697163404,0.937136204889406,0.199139776645597,0.854079072035298,0,0.708333333333333,0.32,0.510204081632653,0.101237685717532,0.102472871668743,1,1.20371055738627,25000,6,0.4,0.4,0.2
25000,6,owa,446,279.9375,252.913028529572,276.060493068699,750,16,9,1164.84508942903,0.6,0.2,0.2,0.840591290451458,0.960805031128208,0.638746623387917,1,0.105062088393565,0.666666666666667,0.36,0.510204081632653,0.082253300759075,0.066789879956842,0.900268624618297,1.04931180533421,25000,6,0.6,0.2,0.2
