area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility
40000,3,owa,405.0,235.69444444444446,299.70799514350824,203.46889119110978,2130.0,36.0,35.0,3054.125126706264,0.6,0.2,0.2,0.22894488681348052,0.10296453366998042,0.3189192494929774,0.064249511277956,0.6839315247007192,0.9,0.875,0.8875,0.41246425911216134,0.32056507657311867,0.5046291253808951,1.0773759227796158
40000,3,owa,483.275,292.925,361.2408094829506,209.8292819510722,2400.0,40.0,40.0,3505.8067313053866,0.6,0.4,0.0,0.4361772003166902,0.2430357312403076,0.5002291021100801,0.07644401019829154,0.8940344884042339,1.0,1.0,1.0,0.42080254407932516,0.2816268239807562,0.40900230453134895,0.9706182606010523
40000,3,owa,369.95,193.625,279.43963615852755,169.95771532943127,2400.0,40.0,40.0,3733.6125245510434,0.8,0.2,0.0,0.1361503471994594,0.0,0.25919740481860165,0.0,1.0,1.0,1.0,1.0,0.5,0.40243060385690155,0.36787944117144233,1.0690947430998932
40000,3,owa,421.7,234.225,369.4748317301887,184.39401618579765,2400.0,40.0,40.0,3503.0898554357022,1.0,0.0,0.0,0.2731579770147402,0.09936808346783975,0.5244911056624795,0.02767808800597008,0.8927707139524453,1.0,1.0,1.0,0.4682811094953306,0.3105286273471709,0.40951951794625036,1.0330649411151664
40000,4,owa,442.2105263157895,602.2068965517242,305.22297477006117,691.5364043361474,1440.0,29.0,19.0,2317.1124771309387,0.4,0.4,0.2,0.3274593991749385,1.0,0.3351694430524761,1.0,0.341104762693913,0.725,0.475,0.6,0.08642211846603523,0.16157092988932115,0.7109844196615337,0.8781920030722294
40000,4,owa,555.0434782608696,489.2903225806452,407.1904265552677,491.2946972743472,1620.0,31.0,23.0,2407.607272499602,0.6,0.2,0.2,0.626183559775072,0.72363784366353,0.6356221990881569,0.6160853361491122,0.38319907097014644,0.775,0.575,0.675,0.1608555785486355,0.12688133857226747,0.6816771836396422,0.9059734314744115
40000,4,owa,449.6818181818182,567.3636363636364,344.8037932566228,475.0946496608477,1650.0,33.0,22.0,2175.542939872719,0.6,0.4,0.0,0.34723957289905016,0.9147214781610451,0.45179652151949706,0.5850256936542271,0.2752526689951101,0.825,0.55,0.6875,0.15053216909016884,0.17062745995377288,0.7593802271439954,0.9952261262110507
40000,4,owa,437.36842105263156,598.0666666666667,297.7967633818436,671.2618037661628,1470.0,30.0,19.0,2328.7577762160217,0.8,0.2,0.0,0.31463997182380105,0.9898668298326494,0.3132876990309271,0.9611283953940005,0.34652165775024646,0.75,0.475,0.6125,0.0933336596633356,0.1652907757462379,0.7071435039840267,0.8831225515204812
40000,4,owa,547.2608695652174,511.0,410.9764666334098,445.19356745128295,1680.0,33.0,23.0,2434.05035109296,1.0,0.0,0.0,0.6055791777234564,0.7767720564188583,0.6467779763094562,0.5276976569844241,0.39549926014176523,0.825,0.575,0.7,0.1760663293974584,0.12781811326758324,0.6733437816039722,0.9133191676352223
40000,5,owa,536.7727272727273,465.16129032258067,481.0591421731826,501.0902178765944,1590.0,31.0,22.0,1886.8520242318198,0.4,0.4,0.2,0.5778119213628867,0.6645822847616198,0.8532804694837929,0.6348658592201403,0.14096600256275268,0.775,0.55,0.6625,0.16604987875571792,0.10611069378118362,0.8685188386104591,1.0876240642567687
40000,5,owa,581.0434782608696,469.6,440.93129523160917,464.768210676217,1590.0,30.0,23.0,1882.1367680538563,0.6,0.2,0.2,0.695018310986614,0.6754459811585488,0.7350415413131581,0.5652272639977236,0.1387726670637551,0.75,0.575,0.6625,0.16823911455620424,0.11102638126571382,0.8704258824396748,1.094178187628736
40000,5,owa,696.24,307.7931034482759,530.8527165482594,352.7228150211625,1620.0,29.0,25.0,1784.520445392901,0.6,0.4,0.0,1.0,0.27942526189195177,1.0,0.3504075291875621,0.0933657288841321,0.725,0.625,0.675,0.25197262834450423,0.07450182626382347,0.9108603114461559,1.200083852922572
40000,5,owa,504.95652173913044,308.74074074074076,398.84987814520224,284.9525726519567,1500.0,27.0,23.0,1870.7925626533888,0.8,0.2,0.0,0.49357882165517813,0.2817445944430574,0.6110463102846205,0.22047460861853715,0.13349582791150538,0.675,0.575,0.625,0.2544880205782775,0.14310271529032398,0.875031119677268,1.2010704979007074
40000,5,owa,501.7916666666667,406.0689655172414,389.7037870827876,422.338044278893,1590.0,29.0,24.0,1961.2527019901604,1.0,0.0,0.0,0.4851998981346539,0.5199544260531063,0.58409684534708,0.48387776239495084,0.1755740156839669,0.725,0.6,0.6625,0.19443676028385554,0.15332210827201548,0.8389752975448398,1.1100731119647032
40000,6,owa,456.22727272727275,221.27272727272728,272.3763033917427,219.62070806564535,1320.0,22.0,22.0,1741.1956965442048,0.4,0.4,0.2,0.36456860117608175,0.06766752885055256,0.23838490279542632,0.09521668308724668,0.07321290875124158,0.55,0.55,0.55,0.25265280730168965,0.19451754831710152,0.9294029309418897,1.2793145124021301
40000,6,owa,346.3809523809524,237.1818181818182,303.31476656939674,212.94882827384487,1290.0,22.0,21.0,1773.1024351102421,0.6,0.2,0.2,0.07375151915522371,0.10660486563262143,0.3295468016807252,0.08242497987462832,0.08805455885737633,0.55,0.525,0.5375,0.24908551563327644,0.21027307425884248,0.9157109152191953,1.2699329679818931
40000,6,owa,318.5238095238095,292.4347826086956,191.47339738136446,287.7541289628662,1320.0,23.0,21.0,1583.8018001458897,0.6,0.4,0.0,0.0,0.24183592920443273,0.0,0.2258459099580239,0.0,0.575,0.525,0.55,0.22146991395183346,0.2625,1.0,1.3527199139518333
40000,6,owa,345.75,306.3,207.26435573415594,316.4239494562219,1200.0,20.0,20.0,1754.933985242178,0.8,0.2,0.0,0.07208107876410105,0.2757709065206612,0.04652893520900144,0.2808133024102614,0.0796033730567793,0.5,0.5,0.5,0.18216908782010136,0.23519110555847494,0.9234825518200103,1.223247192419349
40000,6,owa,381.22727272727275,250.7391304347826,250.57361465971704,215.94258862259588,1350.0,23.0,22.0,1585.9070015782509,1.0,0.0,0.0,0.1660068188350951,0.13978624828168879,0.17414207036371931,0.08816478560643894,0.0009792496653135037,0.575,0.55,0.5625,0.25487319529394425,0.22867532080333614,0.999021229643173,1.3682320853387853
