area,auv_count,w1,w2,w3,n,utility_mean,utility_sd,utility_sem,utility_ci_low,utility_ci_high,priority_latency_mean,priority_latency_sd,priority_latency_sem,priority_latency_ci_low,priority_latency_ci_high,regular_latency_mean,regular_latency_sd,regular_latency_sem,regular_latency_ci_low,regular_latency_ci_high,priority_objects_mean,priority_objects_sd,priority_objects_sem,priority_objects_ci_low,priority_objects_ci_high,regular_objects_mean,regular_objects_sd,regular_objects_sem,regular_objects_ci_low,regular_objects_ci_high,travelled_distance_mean,travelled_distance_sd,travelled_distance_sem,travelled_distance_ci_low,travelled_distance_ci_high
40000,4,6.0,2.0,2.0,1,0.924430923477554,0.0,,,,298.4594594594595,0.0,,,,335.35483870967744,0.0,,,,37.0,0.0,,,,31.0,0.0,,,,2488.0183449976025,0.0,,,
40000,4,6.0,4.0,0.0,1,1.3903946774787463,0.0,,,,250.77777777777777,0.0,,,,463.72727272727275,0.0,,,,36.0,0.0,,,,33.0,0.0,,,,2369.226518373192,0.0,,,
40000,4,8.0,2.0,0.0,1,1.3793619241875041,0.0,,,,247.88888888888889,0.0,,,,461.6764705882353,0.0,,,,36.0,0.0,,,,34.0,0.0,,,,2377.488300271558,0.0,,,
40000,4,10.0,0.0,0.0,1,0.7480711684899862,0.0,,,,279.63157894736844,0.0,,,,391.0967741935484,0.0,,,,38.0,0.0,,,,31.0,0.0,,,,2601.8038908053477,0.0,,,
40000,5,4.0,4.0,2.0,1,0.5750561602205293,0.0,,,,367.2903225806452,0.0,,,,598.3333333333334,0.0,,,,31.0,0.0,,,,27.0,0.0,,,,1983.2168931056956,0.0,,,
40000,5,6.0,2.0,2.0,1,0.6898154118971518,0.0,,,,361.9032258064516,0.0,,,,609.9629629629629,0.0,,,,31.0,0.0,,,,27.0,0.0,,,,1956.4051049938173,0.0,,,
40000,5,6.0,4.0,0.0,1,1.4032408873007969,0.0,,,,342.3478260869565,0.0,,,,389.3636363636364,0.0,,,,23.0,0.0,,,,22.0,0.0,,,,1408.1626018858876,0.0,,,
40000,5,8.0,2.0,0.0,1,0.8569808765641733,0.0,,,,356.1290322580645,0.0,,,,587.6296296296297,0.0,,,,31.0,0.0,,,,27.0,0.0,,,,1907.756635835731,0.0,,,
40000,5,10.0,0.0,0.0,1,0.6947792154121862,0.0,,,,361.06451612903226,0.0,,,,610.2222222222222,0.0,,,,31.0,0.0,,,,27.0,0.0,,,,1944.2297694226033,0.0,,,
40000,6,4.0,4.0,2.0,1,0.8385546932086343,0.0,,,,294.8695652173913,0.0,,,,333.1818181818182,0.0,,,,23.0,0.0,,,,22.0,0.0,,,,1766.6692292208609,0.0,,,
40000,6,6.0,2.0,2.0,1,1.3692029220221176,0.0,,,,311.125,0.0,,,,277.95454545454544,0.0,,,,24.0,0.0,,,,22.0,0.0,,,,1668.3818698653336,0.0,,,
40000,6,6.0,4.0,0.0,1,0.9300671779363288,0.0,,,,287.17391304347825,0.0,,,,326.3636363636364,0.0,,,,23.0,0.0,,,,22.0,0.0,,,,1764.2401839803294,0.0,,,
40000,6,8.0,2.0,0.0,1,0.9007185241622466,0.0,,,,294.82608695652175,0.0,,,,334.72727272727275,0.0,,,,23.0,0.0,,,,22.0,0.0,,,,1751.7014447258973,0.0,,,
40000,6,10.0,0.0,0.0,1,1.2702600394471515,0.0,,,,289.9130434782609,0.0,,,,345.72727272727275,0.0,,,,23.0,0.0,,,,22.0,0.0,,,,1684.7912377868704,0.0,,,
50000,3,4.0,4.0,2.0,1,0.8656785034196766,0.0,,,,153.20408163265307,0.0,,,,362.7291666666667,0.0,,,,49.0,0.0,,,,48.0,0.0,,,,4349.400610062171,0.0,,,
50000,3,6.0,2.0,2.0,1,1.0704926524566303,0.0,,,,200.77083333333334,0.0,,,,382.84,0.0,,,,48.0,0.0,,,,50.0,0.0,,,,4266.543461685375,0.0,,,
50000,3,6.0,4.0,0.0,1,1.4599832992062662,0.0,,,,193.5,0.0,,,,372.56,0.0,,,,50.0,0.0,,,,50.0,0.0,,,,4233.665619501677,0.0,,,
50000,3,8.0,2.0,0.0,1,1.2701009309877418,0.0,,,,194.26,0.0,,,,373.04,0.0,,,,50.0,0.0,,,,50.0,0.0,,,,4255.7232710425715,0.0,,,
50000,3,10.0,0.0,0.0,1,1.3473333212017218,0.0,,,,195.28,0.0,,,,374.5,0.0,,,,50.0,0.0,,,,50.0,0.0,,,,4243.736750530128,0.0,,,
50000,4,4.0,4.0,2.0,1,1.1736216472930843,0.0,,,,393.6304347826087,0.0,,,,582.547619047619,0.0,,,,46.0,0.0,,,,42.0,0.0,,,,3002.2356639175982,0.0,,,
50000,4,6.0,2.0,2.0,1,1.0694220099234082,0.0,,,,307.8780487804878,0.0,,,,508.2325581395349,0.0,,,,41.0,0.0,,,,43.0,0.0,,,,3226.1814333719353,0.0,,,
50000,4,6.0,4.0,0.0,1,0.8358165818637611,0.0,,,,382.04651162790697,0.0,,,,518.25,0.0,,,,43.0,0.0,,,,44.0,0.0,,,,3248.3230103532337,0.0,,,
50000,4,8.0,2.0,0.0,1,0.8611438066493915,0.0,,,,378.51162790697674,0.0,,,,518.6590909090909,0.0,,,,43.0,0.0,,,,44.0,0.0,,,,3235.8281291434437,0.0,,,
