area,auv_count,method,w1,w2,w3,regular_latency,priority_latency,transmitted_data,transmitted_regular_objects,transmitted_priority_objects,travelled_distance,std_reg_latency,std_prior_latency,transmitted_data_normalized,travelled_distance_normalized,priority_latency_normalized,regular_latency_normalized,std_reg_latency_normalized,std_prior_latency_normalized,percent_regular_objects,percent_priority_objects,utility
40000,5,owa,6.0,2.0,2.0,504.95652173913044,308.74074074074076,1500.0,23.0,27.0,1870.7925626533888,390.0828761731972,279.6258866563326,0.0,0.4881515062475906,0.005856593956500257,0.016276071994087985,0.06192293566199644,0.0,0.92,0.8709677419354839,-0.5104989556024725
40000,5,owa,6.0,4.0,0.0,536.7727272727273,465.16129032258067,1590.0,22.0,31.0,1886.8520242318198,469.99883286297853,492.9418664131209,0.75,0.5790203826351509,0.9725678585275848,0.17989899942260876,0.6383976200276891,1.0,0.88,1.0,0.5063351000997915
40000,5,owa,8.0,2.0,0.0,501.7916666666667,406.0689655172414,1590.0,24.0,29.0,1961.2527019901604,381.49857788798573,414.9924744672451,0.75,1.0,0.6073651010144062,0.0,0.0,0.6345825004073785,0.96,0.9354838709677419,-0.15938767513629715
40000,5,owa,10.0,0.0,0.0,696.24,307.7931034482759,1620.0,25.0,29.0,1784.520445392901,520.127313645419,346.5880372122565,1.0,0.0,0.0,1.0,1.0,0.31391061575541884,1.0,0.9354838709677419,0.21266102049571584
40000,6,owa,4.0,4.0,2.0,346.3809523809524,237.1818181818182,1290.0,21.0,22.0,1773.1024351102421,296.0049028214416,208.0527984482515,0.6,1.0,0.18710574147332404,0.20229805561231728,1.0,0.0,0.9545454545454546,0.9565217391304348,-0.3792286248602421
40000,6,owa,6.0,2.0,2.0,345.75,306.3,1200.0,20.0,20.0,1754.933985242178,202.01630503501445,308.4119161122021,0.0,0.9040233020270355,1.0,0.1977160911048586,0.13887272565494005,1.0,0.9090909090909091,0.8695652173913043,0.27053057692849736
40000,6,owa,6.0,4.0,0.0,456.22727272727275,221.27272727272728,1320.0,22.0,22.0,1741.1956965442048,266.113942072356,214.57128118819585,0.8,0.8314493843507405,0.0,1.0,0.7261378277405013,0.06495157482124628,1.0,0.9565217391304348,-0.2700672104376105
40000,6,owa,8.0,2.0,0.0,381.22727272727275,250.7391304347826,1350.0,22.0,23.0,1585.9070015782509,244.8125315825044,211.19601803544134,1.0,0.011120942266028649,0.3465523733375478,0.4553513887360695,0.5309734568823149,0.03131972122069473,1.0,1.0,0.07862066737431717
40000,6,owa,10.0,0.0,0.0,318.5238095238095,292.4347826086956,1320.0,21.0,23.0,1583.8018001458897,186.85890247217705,281.4290900088575,0.8,0.0,0.8369321166424161,0.0,0.0,0.7311372725127399,0.9545454545454546,1.0,0.40637551278084943
60000,3,owa,4.0,4.0,2.0,519.8474576271186,280.43333333333334,3570.0,59.0,60.0,4617.371929038643,387.1944640642618,274.60719623167597,1.0,0.35824725767390686,0.06611903302915362,0.0,0.548260847566585,0.0,1.0,1.0,-0.30058721704166896
60000,3,owa,6.0,2.0,2.0,536.3050847457627,277.05,3570.0,59.0,60.0,4698.747776530284,390.85791142472465,277.4976531432293,1.0,0.8577575374185167,0.0,0.2593972668358578,0.6155505851753973,0.03871426322754996,1.0,1.0,-0.4526277392741357
60000,3,owa,6.0,4.0,0.0,583.2931034482758,305.45,3540.0,58.0,60.0,4721.920674889421,411.7884462138249,297.7674945881994,0.6666666666666666,1.0,0.555009026018118,1.0,1.0,0.3102048964712621,0.9830508474576272,1.0,0.09989155634332658
60000,3,owa,8.0,2.0,0.0,542.4067796610169,280.28333333333336,3570.0,59.0,60.0,4559.009418021502,395.03688386662475,282.59695042390126,1.0,0.0,0.06318764732835415,0.35556927101805064,0.6923094222545764,0.1070133395467242,1.0,1.0,-0.016025101862607916
60000,3,owa,10.0,0.0,0.0,540.280701754386,328.22033898305085,3480.0,57.0,59.0,4692.974506171884,357.345562489709,349.2684882357144,0.0,0.8223194070560432,1.0,0.32205904538926594,0.0,1.0,0.9661016949152542,0.9833333333333333,0.3287608824136279
60000,4,owa,4.0,4.0,2.0,1013.3157894736842,459.5652173913044,2520.0,38.0,46.0,3803.5608912158564,723.2734834458925,412.78248046819346,0.3333333333333333,0.5908727488755136,0.3255118401578688,0.38095598932125563,0.11370335622664604,0.09911556122215474,0.95,0.9019607843137255,-0.25962292901008366
60000,4,owa,6.0,2.0,2.0,970.05,446.19565217391306,2580.0,40.0,46.0,3670.3820756816235,695.729543357187,391.6341249268038,1.0,0.0,0.08373674148988641,0.0,0.0,0.0,1.0,0.9019607843137255,-0.2777394723923118
60000,4,owa,6.0,4.0,0.0,1083.6216216216217,477.734693877551,2580.0,37.0,49.0,3814.0544970931505,783.5954675914115,468.9980538452378,1.0,0.6374295959646008,0.6540884915880509,1.0,0.36271682450704473,0.36257992816956436,0.925,0.9607843137254902,0.17430460632251776
60000,4,owa,8.0,2.0,0.0,974.7368421052631,441.5652173913044,2520.0,38.0,46.0,3734.729055932556,724.1610276076842,398.05995026824974,0.3333333333333333,0.28548742493459,0.0,0.04126772197440288,0.11736720205516898,0.03011578294049751,0.95,0.9019607843137255,-0.39502951512897755
60000,4,owa,10.0,0.0,0.0,1074.21875,496.8627450980392,2490.0,32.0,51.0,3895.775471785412,937.9734049526338,605.0048134505599,0.0,1.0,1.0,0.9172075604155012,1.0,1.0,0.8,1.0,0.5634415120831003
60000,5,owa,4.0,4.0,2.0,571.5833333333334,644.3095238095239,1980.0,24.0,42.0,2747.181078742728,463.9127896371137,659.010531316069,0.6666666666666666,0.08334186485101909,1.0,0.0,0.2765605810215488,1.0,0.8,0.9767441860465116,0.5973242074732044
60000,5,owa,6.0,2.0,2.0,729.0952380952381,406.4390243902439,1860.0,21.0,41.0,2808.6006419380333,571.7001299184327,455.4130287659542,0.0,0.5225586734229558,0.26080345371445063,0.45671068891481575,1.0,0.42163682011592296,0.7,0.9534883720930233,0.04207279773597994
60000,5,owa,6.0,4.0,0.0,752.96,370.25581395348837,2040.0,25.0,43.0,2735.5266501436154,422.70722539365227,380.1455714452738,1.0,0.0,0.14836200236310634,0.525907311651283,0.0,0.2078231661539223,0.8333333333333334,1.0,-0.05417493669328788
60000,5,owa,8.0,2.0,0.0,916.4666666666667,329.8918918918919,2010.0,30.0,37.0,2843.2344592886493,532.9926661992848,306.98690735210505,0.8333333333333334,0.770228209545018,0.022928744118335214,1.0,0.7402059927443722,0.0,1.0,0.8604651162790697,-0.2764926899541512
60000,5,owa,10.0,0.0,0.0,908.3,322.5135135135135,2010.0,30.0,37.0,2875.365476883885,555.9225455642779,323.53776016072277,0.8333333333333334,1.0,0.0,0.9763204948533318,0.8941051293383527,0.04701631277539488,1.0,0.8604651162790697,-0.33501532679569124
60000,6,owa,4.0,4.0,2.0,958.0,638.1951219512196,2130.0,30.0,41.0,2436.644326755484,533.3564161671505,617.2040505183068,0.5714285714285714,0.11640522859936606,1.0,0.5521159229375928,0.016805049442821463,0.5145754557430355,0.9090909090909091,1.0,0.4639613762426415
60000,6,owa,6.0,2.0,2.0,1145.5862068965516,486.125,2070.0,29.0,40.0,2391.6633394343644,624.469127214655,539.2267698983425,0.2857142857142857,0.0,0.13224333859889634,1.0,0.6254222242413288,0.1042587011454816,0.8787878787878788,0.975609756097561,0.11591033370420667
60000,6,owa,6.0,4.0,0.0,726.7586206896551,602.0526315789474,2010.0,29.0,38.0,2778.0805808448135,530.840625161861,709.4549407956721,0.0,1.0,0.7937603628000977,0.0,0.0,1.0,0.8787878787878788,0.926829268292683,0.07012482293737321
60000,6,owa,8.0,2.0,0.0,1123.0,462.95,2130.0,31.0,40.0,2505.2401576202624,592.1187217485707,521.3954329489279,0.5714285714285714,0.2939227498528143,0.0,0.9460727811625229,0.4093271025838363,0.010430136606568892,0.9393939393939394,0.975609756097561,-0.15325572339032023
60000,6,owa,10.0,0.0,0.0,990.6363636363636,473.7317073170732,2220.0,33.0,41.0,2538.2715540609333,680.5450942768985,519.4132723864798,1.0,0.37940391606606116,0.06152358021168969,0.6300390701016423,1.0,0.0,1.0,1.0,-0.0949919623002512
