area,auv_count,method,a,b,regular_latency,priority_latency,priority_std,regular_std,transmitted_data,priority_objects,regular_objects,travelled_distance,regular_latency_normalized,priority_latency_normalized,priority_std_normalized,regular_std_normalized,transmitted_data_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,priority,regular,distance,utility
10000,6,artm,7.5,2.5,157.14285714285714,119.33333333333333,48.52902911316758,141.40889714044232,390.0,6.0,7.0,411.0623857640415,0.9251948051948051,0.5427408412483037,0.0,1.0,0.5,0.5802893642620134,0.75,1.0,0.31511952251330294,0.05843330049951494,0.6327955010106612,1.0063483240234792
10000,6,artm,10.0,0.0,72.33333333333333,133.375,55.66721913042078,27.609177218212547,420.0,8.0,6.0,457.5665578428461,0.0,1.0,0.22619821620978625,0.0,1.0,1.0,1.0,0.8571428571428571,0.2017773152121198,0.42857142857142855,0.5,1.1303487437835482
30000,3,artm,0.0,10.0,155.0344827586207,134.82142857142858,131.28455201539748,120.11110414903978,1710.0,28.0,29.0,2415.6449515120935,0.0,0.8789198606271782,0.6607390098998697,0.07854228452860522,1.0,0.07098598410040921,1.0,1.0,0.15504195238479548,0.42982893874904843,0.9337190353989226,1.5185899265327665
30000,3,artm,2.5,7.5,157.17857142857142,139.78571428571428,157.73685474205243,168.93677396553895,1680.0,28.0,28.0,2448.9458889699304,0.02614703011188682,1.0,1.0,0.5812808358189667,0.0,0.2507994534202429,1.0,0.9655172413793104,0.1111111111111111,0.18683879257455527,0.7994886768342875,1.0974385805199538
30000,3,artm,5.0,5.0,175.10344827586206,120.25,106.43607888723113,112.48312407632731,1710.0,28.0,29.0,2587.695675842975,0.24473980626267167,0.5235191637630663,0.3420477532992299,0.0,1.0,1.0,1.0,1.0,0.28732825597524403,0.32271031530960237,0.5,1.1100385712848464
30000,3,artm,7.5,2.5,237.03571428571428,114.46428571428571,96.11624217884305,209.60253075636015,1680.0,28.0,28.0,2402.498551379487,1.0,0.38240418118466885,0.20969186521121588,1.0,0.0,0.0,1.0,0.9655172413793104,0.3945131395108083,0.05363984674329502,1.0,1.4481529862541034
30000,3,artm,10.0,0.0,190.55172413793105,98.78571428571429,79.766491220895,153.067815551263,1710.0,28.0,29.0,2547.352304574775,0.4331305849665842,0.0,0.0,0.4178844667847385,1.0,0.7821598397649331,1.0,1.0,1.0,0.145931855256856,0.5611168974225679,1.707048752679424
30000,4,artm,0.0,10.0,395.05882352941177,309.3636363636364,418.6849645820824,314.8794353773034,1170.0,22.0,17.0,1714.796234327497,0.0,0.0,1.0,0.0,0.0,1.0,0.8461538461538461,0.7727272727272727,0.21153846153846154,0.38636363636363635,0.5,1.097902097902098
30000,4,artm,2.5,7.5,635.4545454545455,363.0,395.9775751226324,415.9766164756686,1440.0,26.0,22.0,1561.4725867572427,1.0,0.8428571428571429,0.8218485039934096,1.0,1.0,0.0,1.0,1.0,0.14083205467728527,0.05555555555555555,1.0,1.1963876102328408
30000,4,artm,5.0,5.0,556.55,373.0,336.7479499836366,378.3403473343183,1290.0,23.0,20.0,1601.0910367273425,0.6717722560839967,1.0,0.35716072712391295,0.6277218738202891,0.4444444444444444,0.25839751791677357,0.8846153846153846,0.9090909090909091,0.15921210880275677,0.08596322668910279,0.7946614529687406,1.0398367884606001
30000,4,artm,7.5,2.5,525.7,341.95652173913044,310.3954191117092,365.8570471473366,1290.0,23.0,20.0,1645.9344409308565,0.5434421853450194,0.5121739130434783,0.15041116629141738,0.5042436516645615,0.4444444444444444,0.5508729769484034,0.8846153846153846,0.9090909090909091,0.3200270813185289,0.10840533759424453,0.6447981329635801,1.0732305518763536
30000,4,artm,10.0,0.0,563.55,348.22727272727275,291.2238431856616,355.171341156557,1260.0,22.0,20.0,1631.2528739727782,0.7008909107087241,0.610714285714286,0.0,0.39854628330388847,0.3333333333333333,0.45511757854287654,0.8461538461538461,0.9090909090909091,0.32614619170240816,0.10312680078910348,0.6872296883399475,1.116502680831459
