area,auv_count,method,w1,w2,w3,regular_latency,priority_latency,transmitted_data,priority_objects,regular_objects,priority_std,regular_std,travelled_distance,regular_latency_normalized,priority_latency_normalized,priority_std_normalized,regular_std_normalized,transmitted_data_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,priority,regular,distance,utility
10000,6,owa,10.0,0.0,0.0,78.83333333333333,140.71428571428572,390.0,7.0,6.0,45.36046107097489,34.33608403220534,488.07639759161174,0.08483652762119494,0.7012987012987021,0.006711738785137476,0.0,0.0,1.0,0.875,0.8571428571428571,0.29993490588814115,0.36416199100962815,0.5,1.1640968968977692
30000,3,owa,4.0,4.0,2.0,188.82758620689654,125.78571428571429,1710.0,28.0,29.0,108.91021009268995,147.08065546434943,2664.9430401970435,0.0,0.0103750997605748,0.0,0.11192559474193017,,0.7965659734267276,1.0,1.0,0.9795683185712608,0.4044068936645708,0.5566174662056098,1.9405926784414413
30000,3,owa,6.0,2.0,2.0,203.68965517241378,170.07142857142858,1710.0,28.0,29.0,132.68255867167085,139.49913042439567,2556.730725562782,0.15775988286969247,1.0,0.785566000892395,0.0,,0.0,1.0,1.0,0.12887631032358146,0.37302076681164387,1.0,1.5018970771352254
30000,3,owa,6.0,4.0,0.0,188.82758620689654,125.32142857142857,1710.0,28.0,29.0,108.95464689202146,147.239617379659,2665.0122015057664,0.0,0.0,0.0014684303752038545,0.11427233986492029,,0.7970750794872763,1.0,1.0,0.9970695954706658,0.402705262034352,0.5564597781219637,1.9562346356269815
30000,3,owa,8.0,2.0,0.0,283.0344827586207,166.67857142857142,1710.0,28.0,29.0,139.17163758824825,207.23631830742355,2692.5792531728,1.0,0.924181963288108,1.0,1.0,,1.0,1.0,1.0,0.11694757262924053,0.05555555555555555,0.5,0.6725031281847961
30000,3,owa,10.0,0.0,0.0,206.3793103448276,133.75,1710.0,28.0,29.0,110.12606412652728,144.5978200273097,2646.8018603465025,0.1863103953147878,0.1883479648842777,0.04017834366920701,0.07527164563900565,,0.6630262128588462,1.0,1.0,0.6625689468183734,0.31415140636232325,0.6013134322645085,1.5780337854452053
30000,4,owa,4.0,4.0,2.0,509.0,427.04,1320.0,25.0,19.0,402.6873766749255,334.1887357633574,1589.1904173973721,0.08392474935225885,1.0,1.0,0.007652520134452085,0.6666666666666666,0.3820000301983524,1.0,0.95,0.1111111111111111,0.39864345902335896,0.7235889856358935,1.2333435557703636
30000,4,owa,6.0,2.0,2.0,579.5,386.04545454545456,1260.0,22.0,20.0,342.26854915440265,376.3413204442002,1605.323271633439,0.8384026134955501,0.05987063229914191,0.0,0.5075664006011178,0.0,0.5511502759757558,0.88,1.0,0.783388072739923,0.09085011076772768,0.6446828624460302,1.5189210459536808
30000,4,owa,6.0,4.0,0.0,539.95,411.84,1350.0,25.0,20.0,391.18630258910315,417.8631701255429,1552.7568267925253,0.4151458826180021,0.6514178598492395,0.8096442026797742,1.0,1.0,0.0,1.0,1.0,0.16510296341248712,0.08572021802860587,1.0,1.250823181441093
30000,4,owa,8.0,2.0,0.0,594.6,383.4347826086956,1290.0,23.0,20.0,363.69478038684093,392.8996657779452,1648.1327108884736,1.0,0.0,0.35462838508675637,0.7039421799886522,0.3333333333333333,1.0,0.92,1.0,0.501357463019377,0.06838725991985478,0.5,1.0697447229392318
30000,4,owa,10.0,0.0,0.0,501.1578947368421,426.88,1320.0,25.0,19.0,400.5967756568525,333.5434776187181,1633.2638771114364,0.0,0.996330714314202,0.9653981862298994,0.0,0.6666666666666666,0.8441027947685478,1.0,0.95,0.11400119232065532,0.475,0.5422691201579733,1.1312703124786285
